LINE_SEG_NBR,MILEPOST_START,MILEPOST_END,TRACK_SDTK_NBR,TEST_DT,GEO_CAR_NME
3,173.40814,173.59715,1,11Feb2013,GEO505
3,172.77878,173.00000,1,11Feb2013,GEO505
3,158.39261,158.39450,1,11Feb2013,GEO505
3,158.02594,158.21231,1,11Feb2013,GEO505
3,157.00151,158.00000,1,11Feb2013,GEO505
3,156.00890,157.00000,1,11Feb2013,GEO505
3,155.00000,156.00000,1,11Feb2013,GEO505
3,154.00000,155.00000,1,11Feb2013,GEO505
3,153.00492,154.00000,1,11Feb2013,GEO505
3,152.00000,153.00000,1,11Feb2013,GEO505
3,151.00132,152.00000,1,11Feb2013,GEO505
3,150.00265,151.00000,1,11Feb2013,GEO505
3,149.43200,150.00000,1,11Feb2013,GEO505
3,149.58939,149.59128,1,11Feb2013,GEO505
3,149.05284,149.39734,2,11Feb2013,GEO505
3,148.08825,149.00000,2,11Feb2013,GEO505
2,433.41893,434.00000,1,12Feb2013,GEO107
2,432.00000,433.00000,1,12Feb2013,GEO107
2,431.94346,432.00000,1,12Feb2013,GEO107
2,431.66884,431.94326,0,12Feb2013,GEO107
2,433.00340,433.99678,2,12Feb2013,GEO503
2,432.00000,433.00000,2,12Feb2013,GEO503
2,431.69450,432.00000,2,12Feb2013,GEO503
2,431.73731,431.73920,2,12Feb2013,GEO503
2,431.00000,431.73693,0,12Feb2013,GEO503
2,430.05321,431.00000,0,12Feb2013,GEO503
2,429.00000,430.00000,0,12Feb2013,GEO503
2,428.00000,429.00000,0,12Feb2013,GEO503
2,427.49412,428.00000,0,12Feb2013,GEO503
3,129.10208,129.95568,1,12Feb2013,GEO505
3,130.00000,130.89071,1,12Feb2013,GEO505
3,131.00000,131.63863,1,12Feb2013,GEO505
3,131.67083,131.94242,1,12Feb2013,GEO505
3,131.90246,131.90435,1,12Feb2013,GEO505
3,131.90473,132.00000,1,12Feb2013,GEO505
3,132.00000,132.64962,1,12Feb2013,GEO505
3,132.68124,132.98825,1,12Feb2013,GEO505
3,133.00000,133.34715,1,12Feb2013,GEO505
3,132.59981,132.60170,1,12Feb2013,GEO505
3,132.60208,133.00000,1,12Feb2013,GEO505
3,133.00000,134.00000,1,12Feb2013,GEO505
3,134.00000,134.99185,1,12Feb2013,GEO505
3,135.00000,136.00000,1,12Feb2013,GEO505
3,136.00000,137.00000,1,12Feb2013,GEO505
3,137.00000,137.99696,1,12Feb2013,GEO505
3,138.00000,138.04337,1,12Feb2013,GEO505
3,138.04488,138.04678,1,12Feb2013,GEO505
3,138.23295,138.97878,1,12Feb2013,GEO505
3,139.00000,139.65738,1,12Feb2013,GEO505
3,139.61060,139.61250,1,12Feb2013,GEO505
3,119.02253,119.36723,2,13Feb2013,GEO505
3,118.00416,119.00000,2,13Feb2013,GEO505
